"","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP"
"5829",5829,448442,1.67979504957086,-0.263751254634233,-0.590438633562862,1.18769645351979,1.25226579745001,-3.61410337874413,0.423997127382959,1.26717663645201,0.408340332810745,-0.950507722843951,-0.533543510214215,-0.918573608098518
"5830",5830,448451,-0.540897533083847,1.31891938758708,-0.590438633562862,0.999499189389133,1.24795810169034,NA,0.423997127382959,1.28443776817779,0.408340332810745,-0.641438307741309,-1.53238344882101,0.363915777975846
"5831",5831,448460,-0.298801989002852,-0.465459775314723,-0.590438633562862,0.845247665367737,1.26614615045338,NA,0.423997127382959,1.04765044834971,0.408340332810745,NA,NA,NA
"5832",5832,448479,0.188949327748563,-0.631229138635661,-0.590438633562862,0.907676612695115,1.40112061758958,NA,0.423997127382959,1.09102457422476,0.408340332810745,-0.609676770461587,-0.311401507868064,-1.10173140820995
"5833",5833,448488,0.305546814052277,-0.650995675183415,-0.590438633562862,1.07675501170676,0.544367794278232,NA,0.423997127382959,1.24770253912035,0.408340332810745,-1.05229089859028,-1.03296347951761,-1.10173140820995
"5834",5834,448497,-0.0237743304696639,-0.405710926204467,-0.590438633562862,0.872820450437329,0.922966388266654,NA,0.423997127382959,1.38357862732077,0.408340332810745,-0.605302662970214,0.201602684600386,-0.0939787223027295
"5835",5835,448503,0.449291043350367,-0.333383372018366,-0.590438633562862,1.12994967724197,-0.0414788290363433,NA,0.423997127382959,0.801568672976968,0.408340332810745,-0.900644571326532,-0.533543510214215,1.46324736393878
"5836",5836,448512,-0.249848845898239,-0.489718706532421,-0.590438633562862,0.954368262883716,0.0149998487014998,NA,0.423997127382959,0.919741036330424,0.408340332810745,-0.990882447479963,0.132482960848796,0.565543272216161
"5837",5837,448567,1.46662636277896,-0.571480289525404,0.153055388612307,0.317723060451392,NA,-0.875979375661194,0.580264898096895,0.554601711361881,1.25240143265979,-1.79462723145447,-1.06252914170037,NA
"5838",5838,448576,-0.272545303155833,1.59295546245367,0.770675847613074,1.1333312452222,NA,-0.474231108641745,-0.244169383847135,1.05384675204614,0.284819196247469,-0.648056480786842,-0.733311497935574,-0.0166368781380289
"5839",5839,448585,0.0634512699712827,-0.504992848410231,0.241096344870186,0.169844491469665,NA,-1.91050671974181,0.183693271339045,1.13395610697864,0.223058627965832,-1.36331452600405,NA,NA
"5840",5840,448594,-0.619222562051227,1.74210296549581,NA,-1.21477753612881,NA,NA,-0.806283666990792,-0.356697525135367,NA,NA,NA,NA
"5841",5841,448600,-0.410504160996105,-0.538236568967818,-0.46423414573607,0.661992692900496,NA,NA,0.255550213867576,0.660824060443639,-0.387684769485918,NA,NA,NA
"5842",5842,448619,1.1519911611884,0.0161249333032852,-0.926163826067253,0.328388005619819,NA,NA,-0.204634012599364,1.34374524641511,-0.717074466987985,NA,NA,NA
"5843",5843,448628,1.02604807483744,0.258714245480267,-1.0169811606791,1.41244066389835,NA,NA,2.00428774872749,0.341271826956017,-0.34651105729816,-0.651949822998077,-0.783253494865914,-1.16599055236669
"5844",5844,448646,1.42034339111641,-0.564741697520488,-1.86376476132805,0.577063312473875,NA,NA,-0.931260409276398,1.01445596426166,NA,NA,NA,NA
"5845",5845,448664,0.926361674333504,-0.531048737495907,-1.11741093043995,0.609058147979156,NA,NA,-0.337667726276697,1.3574656331715,-0.710212181623359,NA,NA,NA
"5846",5846,448673,0.17915869912764,-0.412449518209383,0.451564127602756,0.269990927807334,NA,-2.88369845053702,-0.0435882704787068,0.430233044311989,-0.133780210994741,-1.33646451798201,-1.53238344882101,-1.04362882876284
"5847",5847,448707,-0.845297077479803,3.76412980643766,NA,-1.07457252525607,NA,NA,NA,1.73853831050231,-1.25919501079347,NA,NA,NA
"5848",5848,448716,-0.845297077479803,3.76412980643766,NA,-1.26576117644617,NA,NA,NA,1.52697879858114,-1.25919501079347,NA,NA,NA
"5849",5849,448734,-0.0976490737002613,0.134274913122815,0.770675847613074,0.502538756601817,NA,-1.4233997242335,-0.244169383847135,0.576288774299407,0.284819196247469,0.383758642687059,NA,NA
"5850",5850,448752,-0.107884730894862,-0.0350883659340777,-1.31762584806595,1.22658448529247,NA,-1.05845282518529,1.53585917944111,1.16892096355138,-0.49748133531994,-0.311443269117616,-0.188344427431707,-0.389109043070518
"5851",5851,448761,-0.744720619828507,0.419991214131261,-1.31762584806595,1.08442856981575,NA,-3.61410337874413,1.53585917944111,0.901594718362291,-0.49748133531994,-0.720316382862546,-1.13284747337829,-0.712328690325983
"5852",5852,448770,-0.315268046228949,0.0179218911712629,-0.0946923368841058,-0.364833430327942,NA,NA,0.442921641582128,0.553273931998359,0.696556318125054,NA,NA,NA
"5853",5853,448798,1.78660190725365,0.238049229998524,-1.35024885507794,-0.454575042111048,NA,NA,-0.600175096504784,1.43846017434634,-1.32095557907511,NA,NA,NA
"5854",5854,448804,-0.603201533398808,-0.615505757290856,NA,NA,NA,NA,0.247680613903565,0.289931024899834,NA,NA,NA,NA
"5855",5855,448822,0.794188187951049,-0.491964903867393,0.153055388612307,NA,NA,NA,0.580264898096895,0.30055325980801,1.25240143265979,-1.65057787060231,2.46297630560617,-1.74316849389431
"5856",5856,448840,-0.51642096153154,-0.043174676339977,0.906490116234219,-0.538854121003008,-1.61761684421191,-0.288690878453373,0.973744896297455,-0.538603297937878,0.559310610832526,-0.569544394878691,-0.0169434939667807,-0.861240599240108
"5857",5857,448859,-0.400268503801504,-0.156383022022569,0.516347484374297,0.622584419900088,NA,NA,0.13057347158197,0.173971627152249,0.689694032760427,NA,NA,NA
"5858",5858,448886,-0.56626416178351,0.50040507872326,1.05852339543138,-0.546527679111998,0.465393372017688,0.679900681345426,0.699152068981779,-0.545684787876661,NA,0.326061442743124,0.396576240616433,0.319280683831044
"5859",5859,448895,-0.503070104321191,1.76770961511449,-1.13714695445254,0.0438160540525206,NA,NA,-0.436974582965409,0.609483258387456,-1.21802129860571,NA,NA,NA
"5860",5860,448974,0.479552986360492,-0.408406363006433,-0.808222291393107,1.53820898070163,NA,NA,-0.449060040052998,1.64736412754047,-0.339648771933533,NA,NA,NA
"5861",5861,448983,0.563218358212012,0.517476178469048,-1.3198529249893,1.12565768711321,NA,NA,-0.634838810631977,0.567436911875927,-0.332786486568907,NA,NA,NA
"5862",5862,449010,0.232117099395358,-0.405710926204467,-0.0218824215190927,1.1264380489548,NA,-1.28846137500559,0.12851238587711,0.663922212291857,-0.161229352453247,-0.208488789030628,-0.142797326231237,-1.74316849389431
"5863",5863,449038,1.09102224659447,0.374168788497831,0.0880147979000801,1.75723053757518,NA,-2.82798526846943,-0.337855097704411,0.0557992637987928,1.12201801073189,-0.447180546433814,-0.200730042670431,0.180757977864416
"5864",5864,449074,-0.46168244696911,-0.208045560726926,-0.309298439248767,0.508651591027623,NA,NA,-0.535531953943264,-0.377941994951719,-0.319061915839654,NA,NA,NA
"5865",5865,449083,-0.79634393437519,3.54175627027542,-0.00337673027027048,0.687224392445311,NA,NA,-0.469670897101599,2.07092574450398,-0.682763040164853,NA,NA,NA
"5866",5866,449092,-0.704668048197461,3.59072337217781,-0.00337673027027048,-0.187691292286506,NA,NA,-0.469670897101599,2.07092574450398,-0.682763040164853,NA,NA,NA
"5867",5867,449117,1.50667893441,-0.358540782170053,-0.895740839364789,0.508131349799895,NA,NA,-0.221216383952102,1.04632266898619,-0.93666759865603,NA,NA,NA
"5868",5868,449126,-0.41183924671714,-0.553061471378633,-0.15222982500384,0.730404414346747,NA,NA,0.326657670685249,1.50661951500714,-0.42199619630905,NA,NA,NA
"5869",5869,449135,-0.845297077479803,3.76412980643766,NA,-1.0584450471965,NA,-0.383761079045762,-1.28979563620819,1.84697362518994,-1.14939844495945,0.743623486174855,NA,0.679439719344277
"5870",5870,449144,-0.845297077479803,3.76412980643766,NA,-1.00394977859197,NA,NA,-1.28979563620819,1.17644504661134,-1.14939844495945,NA,NA,NA
"5871",5871,449153,-0.845297077479803,3.76412980643766,NA,-0.979628501195684,NA,NA,-1.28979563620819,-0.443003183764295,-1.14939844495945,NA,NA,NA
"5872",5872,449162,0.313112299804808,-0.666719056528219,-0.17908083532489,0.640532742256709,NA,NA,-0.337855097704411,1.36587490247381,-0.778835035269623,NA,NA,NA
"5873",5873,449171,-0.0286696447801251,-0.604724010082991,-0.17908083532489,0.578754096463991,NA,NA,-0.337855097704411,0.950722554812604,-0.778835035269623,NA,NA,NA
"5874",5874,449180,-0.0108685018329932,-0.447490196634947,-0.17908083532489,0.769682627040223,NA,NA,-0.337855097704411,1.35126932947507,-0.778835035269623,NA,NA,NA
"5875",5875,449199,-0.776762677133345,-0.728264863506454,-0.17908083532489,0.615951344246554,NA,NA,-0.337855097704411,1.13528388634216,-0.778835035269623,NA,NA,NA
"5876",5876,449205,-0.311262789065845,-0.728264863506454,-0.17908083532489,0.554822999988496,NA,NA,-0.337855097704411,1.21981917248639,-0.778835035269623,NA,NA,NA
"5877",5877,449214,-0.748725876991612,-0.728264863506454,-0.17908083532489,0.666414743336185,NA,NA,-0.337855097704411,1.0733208493778,-0.778835035269623,NA,NA,NA
"5878",5878,449223,0.185834127732815,-0.728264863506454,-0.17908083532489,0.626226108494185,NA,NA,-0.337855097704411,1.65931414181216,-0.778835035269623,NA,NA,NA
"5879",5879,449232,-0.025554444764377,-0.728264863506454,-0.17908083532489,0.616861766395079,NA,NA,-0.337855097704411,1.18573950215599,-0.778835035269623,NA,NA,NA
"5880",5880,449241,-0.400268503801504,-0.458721183309807,-0.17908083532489,0.347897051659625,NA,NA,-0.337855097704411,0.900709532119943,-0.778835035269623,NA,NA,NA
"5881",5881,449250,-0.360215932170457,1.97256281206394,-1.13994042533984,0.612959957187117,NA,NA,-0.339166697698413,-0.0920268386733203,-0.332786486568907,NA,NA,NA
"5882",5882,449269,0.905890359944302,1.01029187376192,-2.41573725716447,0.807400116050514,NA,NA,-0.337855097704411,0.532472055303182,-0.840595603551261,NA,NA,NA
"5883",5883,449302,-0.311262789065845,-0.728264863506454,-1.61783578668941,1.36769991831373,NA,NA,0.532859926885113,1.26629145020966,-0.737661323081865,NA,NA,NA
"5884",5884,449311,0.227221785084897,2.41102053185049,-0.446999349782382,0.29717353195613,NA,NA,-0.675498410446034,1.09589309855767,-1.08763787667781,NA,NA,NA
"5885",5885,449320,0.199184984943164,1.06150517299928,-0.552892578257831,0.461699820225158,NA,NA,-0.337855097704411,0.777668644433573,0.298543766976722,NA,NA,NA
"5886",5886,449339,0.115964641665322,-0.264649733568222,1.06715194169776,-0.760867064935996,NA,0.282241455211671,-1.44971714976256,-0.914364857814596,NA,-0.112134287804887,-0.563908244347862,-0.973597905190817
"5887",5887,449348,3.52977883035155,-0.728264863506454,NA,-0.446511303081261,NA,1.49719772837354,NA,1.24593216663566,NA,2.54381172484657,NA,NA
"5888",5888,449357,-0.510190561500044,0.527808686209919,-1.16800998837715,0.395108943075954,NA,NA,-0.0316901848188327,0.950722554812604,NA,NA,NA,NA
"5889",5889,449366,-0.762966791349318,0.103726629367195,NA,0.621543937444632,NA,NA,-1.18814663667305,-1.36802280701794,NA,NA,NA,NA
"5890",5890,449384,-0.750505991286325,-0.16671552976344,NA,1.9062796493193,1.47722324267701,NA,2.94058277301711,-1.89736417994203,NA,NA,NA,NA
"5891",5891,449393,-0.845297077479803,3.41327378271502,NA,-0.93410739376947,NA,NA,-1.77574343398589,1.6194807609065,NA,NA,NA,NA
"5892",5892,449436,-0.799459134390938,3.20842058576557,NA,0.780867813436378,NA,NA,-0.423296468742247,0.910003987664596,NA,NA,NA,NA
"5893",5893,449445,-0.419404732469671,1.47031308796419,-0.669171410073437,0.745751530564728,NA,NA,-0.532721382527546,0.660381467322465,NA,NA,NA,NA
"5894",5894,449454,-0.845297077479803,0.0206173279732293,NA,0.645865214840923,NA,NA,-0.337855097704411,1.28399517505662,NA,NA,NA,NA
"5895",5895,449463,-0.350870332123213,1.60104177285957,0.123903271848337,-0.401380376575844,NA,NA,-0.275460412275465,0.50901461988096,NA,NA,NA,NA
"5896",5896,449472,-0.272990331729511,-0.407507884072444,NA,-0.798194373025491,NA,NA,-0.931260409276398,0.0836826304327546,NA,NA,NA,NA
"5897",5897,449490,1.57432327760911,-0.553959950312622,NA,-0.545097015735746,NA,NA,-1.19236249379663,-2.03279767502127,NA,NA,NA,NA
"5898",5898,449506,-0.459457304100718,3.36745135708159,NA,0.654709315712301,-1.46158253113956,NA,2.77719488805002,1.21273768254761,NA,NA,NA,NA
"5899",5899,449524,0.0447600698767942,-0.248926352223417,NA,0.562106377176691,NA,NA,1.43130592277639,0.622761052022676,NA,NA,NA,NA
"5900",5900,449533,1.20850979004555,-0.728264863506454,-0.794001099726649,0.290020215074868,NA,NA,-1.26000357920158,0.096075237825626,NA,NA,NA,NA
"5901",5901,449597,0.838691045318879,-0.485226311862477,-0.829763607282692,-0.572019499270678,NA,NA,-1.19076983666105,0.123516011338414,NA,NA,NA,NA
"5902",5902,449603,0.975314817438116,0.632930721486611,-1.45059557267142,-0.313849790010583,NA,NA,-0.583499039438189,0.565666539391231,NA,NA,NA,NA
"5903",5903,449612,0.41724898604553,-0.620447391427795,0.363682373278521,0.673828180831311,1.47722324267701,NA,0.716390240331517,-0.879842594363025,NA,NA,NA,NA
"5904",5904,449658,-0.845297077479803,-0.728264863506454,NA,-1.25444592974308,-0.988693263300676,0.766792800166427,NA,-0.516916235000352,NA,-1.41623159111879,NA,NA
"5905",5905,449667,-0.647704390766638,-0.628533701833694,NA,0.9961176214089,1.10915457165666,NA,-0.337855097704411,-0.836468468487974,NA,NA,NA,NA
