"","UNITID","C150_4_WHITE","C150_4_ASIAN","C150_4_BLACK","C150_4_HISP","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","COMPL_RPY_3YR_RT","COMPL_RPY_5YR_RT","COMPL_RPY_7YR_RT","ADM_RATE","RET_FT4","NPT4_PRIV","NPT4_PUB","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","MD_EARN_WNE_P6","MD_EARN_WNE_P8"
"4242",243142,0.3636,0,1,0.3624,0.0081,0.0013,5e-04,0.9715,"PrivacySuppressed",NA,NA,0.7854,0.7965,NA,6317,"4500",0.7246,NA,NA,NA
"4243",243151,NA,NA,NA,0.4293,0,0,0,1,"PrivacySuppressed",NA,NA,0.8262,0.8668,NA,5570,"4500",0.7081,NA,NA,NA
"4244",243179,0,NA,NA,0.4528,0.0071,0.0057,6e-04,0.9534,"0.8648648649",NA,NA,0.4853,0.9087,NA,5790,"4500",0.7368,NA,NA,NA
"4245",243188,NA,NA,NA,0.1797,0.0104,0,0,0.8625,"PrivacySuppressed",NA,NA,0.3988,0.5657,NA,6945,"3500",0.7922,NA,NA,NA
"4246",243197,NA,NA,NA,0.4093,0,0,0,1,"0.9198473282","PrivacySuppressed","PrivacySuppressed",0.7603,0.9173,NA,8957,"5500",0.6158,NA,NA,NA
"4247",243203,NA,NA,NA,NA,0.0022,0,0,0.9978,"PrivacySuppressed",NA,NA,NA,NA,NA,NA,"5500",0.7505,NA,NA,NA
"4248",243212,NA,NA,NA,0.3761,0,0,0,1,"PrivacySuppressed",NA,NA,0.7365,0.8569,NA,6658,"5300",0.7846,NA,NA,NA
"4249",243221,0.5333,0.4,0.5,0.4807,0.0074,0.0012,8e-04,0.8902,"0.6571428571",NA,NA,0.2817,0.9009,NA,2318,"5500",0.5804,NA,NA,NA
"4250",243346,NA,NA,NA,0.2161,0,0,0,1,"0.6086956522","0.5804597701","0.6168831169",NA,0.6905,9010,NA,"4000",0.8644,"18100","15700","17600"
"4251",243407,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,7740,NA,NA,1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4252",243443,NA,NA,NA,0.3107,0,0,0,1,"0.7147147147","0.6737089202","0.7422969188",0.2809,0.7504,7748,NA,"9750",0.6745,"19900","14900","16300"
"4253",243498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed",NA,NA,NA,NA
"4254",243568,NA,NA,NA,0.5455,0,0,0,1,"0.7368421053","PrivacySuppressed","PrivacySuppressed",0.4444,0.9167,18651,NA,"4875",0.8264,"PrivacySuppressed","23100","27300"
"4255",243577,NA,NA,NA,0.2154,0.0011,3e-04,3e-04,0.9981,"0.8927125506","0.8761329305","0.9068627451",NA,0.7845,14504,NA,"9166",0.612,"26000","20800","23400"
"4256",243586,NA,NA,NA,0.2477,0,0,0,0.9583,"0.5605605606","0.5416666667","0.620212766",0.5631,0.7294,3516,NA,"7875",0.8247,"17900","13700","16000"
"4257",243601,NA,NA,NA,0.21,0,0,0,1,"0.6582010582","0.6509803922","0.668",NA,0.7493,8824,NA,"4430",0.8387,"18300","15900","17300"
"4258",243638,NA,NA,NA,NA,4e-04,0,0,0,NA,NA,NA,0.9378,NA,NA,5664,"PrivacySuppressed",0.8778,"15700","15300","15000"
"4259",243647,NA,NA,NA,NA,0,0.0017,0,0,NA,NA,NA,NA,NA,NA,1507,"PrivacySuppressed",0.856,"24700","15800","13200"
"4260",243665,0.1111,0,0.2591,0.2258,0.0533,0.725,0.0051,0.0741,"0.8529411765","0.8461538462","0.8490566038",0.9707,0.7518,NA,11672,"7250",0.5161,"31800","24700","29100"
"4261",243744,0.9547,0.9542,0.9485,0.9382,0.3752,0.0591,0.1979,0.1607,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.0509,0.9845,14559,NA,"12000",0.1556,"86000","71000","81500"
"4262",243780,0.7409,0.7179,0.6218,0.6193,0.6579,0.0304,0.0539,0.0421,"0.9649122807","0.9720465211","0.9773662551",0.5929,0.9246,NA,14797,"19500",0.2017,"54300","41600","46700"
"4263",243799,NA,NA,NA,NA,0.4464,0.4643,0.0536,0.0179,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.6667,NA,NA,23708,"8862",0.5085,"PrivacySuppressed","56100","PrivacySuppressed"
"4264",243823,NA,NA,NA,NA,0.4454,0.2795,0.048,0.1834,"0.7196261682","0.7552447552","PrivacySuppressed",NA,NA,26242,NA,"6307.5",0.5223,"PrivacySuppressed","33100","43400"
"4265",243832,NA,NA,NA,0.2524,0,0,0,1,"0.7126436782","0.5632183908","0.6091954023",0.7634,0.7143,7825,NA,"8000",0.7475,"17900","14600","16900"
"4266",243841,NA,NA,NA,NA,0,0,0,1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,7989,NA,"PrivacySuppressed",0.9214,"15800","12100","14800"
"4267",244011,0.1765,0,0.25,0.3563,0.229,0.0906,0.0956,0.5091,"0.5437992413","0.5898148148","0.7255813953",0.9735,0,23275,NA,"13566",0.754,"38800","29300","33900"
"4268",244154,0.2727,0,0,0.32,0.5849,0.0377,0.033,0.2547,"0.5437992413","0.5898148148","0.7255813953",0.9681,NA,23691,NA,"13566",0.7202,"38800","29300","33900"
"4269",244190,0.8,NA,NA,NA,0.6292,0.2921,0.0225,0.0112,"0.9345417925","0.9176755448","0.9460869565",NA,1,22705,NA,"21250",0.2772,"52900","42900","48500"
"4270",244233,0.5,NA,0.3529,0.4,0.1331,0.6392,0.014,0.1751,"0.4715762274","0.4737864078","0.62027833",NA,NA,24141,NA,"17336",0.7694,"25900","24800","26000"
"4271",244279,NA,NA,NA,NA,0.5,0.3077,0.0055,0.1813,"0.5351681957","0.5282258065","0.595505618",NA,NA,14643,NA,"10448",0.9298,"PrivacySuppressed","15500","16000"
"4272",244437,NA,NA,NA,NA,0.2744,0.4337,0.0945,0.0877,"0.6818181818","0.7644110276","0.7891891892",0.5134,NA,NA,6236,"5500",0.4557,"32700","24200","29400"
"4273",244446,NA,NA,NA,NA,0.1121,0.8038,0.0232,0.0249,NA,NA,NA,NA,NA,NA,9127,"5834",0.7098,"26300","20300","23600"
"4274",244491,NA,NA,NA,NA,0.9565,0,0.0109,0.0109,"0.5739130435","0.64375","0.8012048193",NA,NA,19694,NA,"12000",0.6226,"14000","14300","14900"
"4275",244561,NA,NA,NA,NA,0.0504,0.2806,0,0.1655,"0.7491803279","0.7643442623","0.7536231884",NA,NA,29205,NA,"7917",0.6667,"26400","21900","28800"
"4276",244613,NA,NA,NA,NA,0.2823,0.4048,0.017,0.2823,"0.7059891107","0.5439783491","0.5694006309",NA,NA,24547,NA,"8023",0.8074,"39100","30100","35300"
"4277",245069,NA,NA,NA,NA,0.4783,0.2174,0.3043,0,"0.3474576271","0.4653465347","0.6470588235",NA,NA,12130,NA,"5312",0.7317,"15500","12800","15100"
"4278",245281,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,8136,NA,"PrivacySuppressed",0.9149,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4279",245290,NA,NA,NA,NA,0,1,0,0,"PrivacySuppressed",NA,NA,NA,NA,10111,NA,"4150",0.1863,"20400","13400","13600"
"4280",245342,0.6667,0,0.4788,NA,0.0614,0.9161,0,0.0031,"0.3218195086","0.3954029677","0.5376526459",NA,NA,17690,NA,"13212",0.3438,"28300","21400","25700"
"4281",245421,NA,NA,NA,NA,0.9737,0.0132,0.0132,0,"0.5037453184","0.4962216625","0.5845697329",NA,NA,11124,NA,"9500",0.9437,"20100","18400","17700"
"4282",245430,NA,NA,NA,NA,0.76,0.184,0.016,0.008,"0.5037453184","0.4962216625","0.5845697329",NA,NA,11437,NA,"9500",0.838,"20100","18400","17700"
"4283",245625,NA,NA,NA,NA,0.7481,0.0612,0.0312,0.0942,"PrivacySuppressed","PrivacySuppressed","0.7346938776",NA,NA,NA,8288,"5500",0.3079,"31600","23300","29500"
"4284",245652,0.5,0.75,NA,0,0.6147,0.0088,0.0235,0.1029,"0.8969072165","PrivacySuppressed","PrivacySuppressed",0.815,0.9024,24127,NA,"19500",0.3746,"27600","22900","24200"
"4285",245731,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed",0.8333,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4286",245777,0.5,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed",0.3871,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4287",245838,NA,NA,NA,NA,0.5329,0.1138,0.024,0.2156,"0.8383233533","0.7911392405","0.8372093023",NA,NA,NA,NA,"21916",0.2132,"33800","30900","33600"
"4288",245847,NA,NA,NA,NA,0.5152,0.0182,0.0242,0.1939,"0.8383233533","0.7911392405","0.8372093023",NA,NA,NA,NA,"21916",0.3571,"33800","30900","33600"
"4289",245865,NA,NA,NA,NA,NA,NA,NA,NA,"0.8383233533","0.7911392405","0.8372093023",NA,NA,NA,NA,"21916",NA,"33800","30900","33600"
"4290",245883,0,0,NA,0,0.5366,0.1463,0.0488,0.0549,"0.8383233533","0.7911392405","0.8372093023",NA,NA,24616,NA,"21916",0.5261,"33800","30900","33600"
"4291",245892,NA,NA,NA,NA,0.716,0.1975,0.0123,0.0123,"0.8383233533","0.7911392405","0.8372093023",NA,NA,NA,NA,"21916",0.5948,"33800","30900","33600"
"4292",245953,0.3043,NA,0.4375,0.2222,0.5528,0.271,0.0029,0.0714,"0.8533333333","0.8728813559","0.8985507246",NA,0.4542,21495,NA,"11000",0.064,"39200","33200","35600"
"4293",245962,0.5891,1,0.4,0.6,0.5326,0.279,0.0145,0.0652,"0.549937578","0.5649081209","0.5520421607",NA,NA,27789,NA,"6452",0.7419,"21500","23300","22800"
"4294",245980,NA,NA,NA,NA,0.8333,0.0278,0,0.0556,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,5184,NA,"PrivacySuppressed",0.6182,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4295",245999,NA,NA,NA,NA,0.521,0.1975,0.045,0.1494,"0.6533864542","0.608040201","0.7386363636",NA,NA,NA,7721,"3500",0.1838,"30300","28100","28600"
"4296",246008,NA,NA,NA,NA,0.3263,0.4195,0,0.2542,"0.3528678304","0.2323113208","0.362244898",NA,NA,24637,NA,"11832",0.6972,"20700","16000","19000"
"4297",246017,NA,NA,NA,NA,0.6563,0.0313,0.0156,0.0677,NA,NA,NA,NA,NA,NA,5412,"PrivacySuppressed",0.2721,"25800","23600","25700"
"4298",246035,NA,NA,NA,NA,0.59,0.01,0.08,0.25,"0.6278586279","0.6193336974","0.6859903382",1,NA,NA,NA,"8823",0.3521,"27100","23900","25700"
"4299",246071,NA,NA,NA,NA,0.8289,0.0658,0.0526,0.0263,"0.85","0.56","PrivacySuppressed",NA,NA,NA,21537,"10268",0.5276,"40000","34300","35000"
"4300",246202,NA,NA,NA,NA,0.4484,0.4022,0.0109,0.0788,"0.3983957219","0.3879781421","0.4696969697",NA,NA,22708,NA,"8953.5",0.7518,"30600","18400","21900"
"4301",246266,NA,NA,NA,NA,0.0671,0.0636,0.0088,0.8392,"0.3297619048","0.3359872611","0.4455159113",NA,NA,19654,NA,"8789",0.7515,"23000","19600","21300"
"4302",246345,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed",NA,NA,NA,NA,"PrivacySuppressed",NA,NA,NA,NA
"4303",246354,NA,NA,NA,NA,0.2001,0.0313,0.0114,0.7137,"0.7752808989","0.7966101695","PrivacySuppressed",NA,NA,NA,5214,"5500",0.3057,"27800","23700","26300"
"4304",246406,NA,NA,NA,NA,0.6053,0.2105,0.0263,0.1579,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,NA,12778,NA,"5040",1,"16200","13900","15400"
"4305",246415,NA,NA,NA,NA,0.2609,0.1884,0.0145,0.5072,"0.6428571429","0.693877551","0.5384615385",NA,NA,15792,NA,"3662.5",0.6602,"20400","15200","19800"
"4306",246460,NA,NA,NA,NA,0.3462,0.2179,0.0769,0.3462,NA,NA,NA,NA,NA,5720,NA,"PrivacySuppressed",0.8869,"15100","16500","15600"
"4307",246594,NA,NA,NA,NA,0.6724,0.0517,0.069,0.0862,"0.5603532875","0.5335648148","0.637254902",NA,NA,11308,NA,"7752",0.8283,"16900","16500","16900"
"4308",246789,NA,NA,NA,NA,0.303,0.0606,0.0909,0.1212,NA,"PrivacySuppressed",NA,NA,0.8,NA,NA,"8750",NA,NA,NA,NA
"4309",246813,NA,NA,NA,NA,0.6464,0.2096,0.0225,0.0492,NA,NA,NA,NA,NA,NA,6282,"PrivacySuppressed",0.6082,"27300","22900","23000"
"4310",246895,NA,NA,NA,NA,0.4573,0.0791,0.0176,0.3405,"0.65830721","0.6818181818","0.8375634518",NA,NA,NA,11987,"6364.5",0.3009,"29800","30000","30400"
"4311",246974,NA,NA,NA,NA,0.1709,0.2083,0.0845,0.4165,"0.5657339378","0.5459686246","0.623380829",0.9324,NA,18252,NA,"12117",0.7819,"29600","24100","28100"
"4312",247010,NA,NA,NA,NA,0.9474,0,0,0,"0.5357142857","PrivacySuppressed","PrivacySuppressed",NA,NA,21421,NA,"12000",0.8052,"14500","PrivacySuppressed","11200"
"4313",247047,NA,NA,NA,NA,0.8,0,0,0.11,"0.5444444444","0.5294117647","0.7",NA,NA,15537,NA,"9500",0.6198,"15800","PrivacySuppressed","13800"
"4314",247065,0.1786,NA,0,NA,0.861,0.0885,0.0042,0.014,"0.5539568345","0.6962962963","0.7692307692",NA,NA,18336,NA,"12667",0.7993,"29700","28700","24400"
"4315",247153,NA,NA,NA,NA,0.482,0.4101,0.0072,0.036,"0.4292055038","0.4422043011","0.5396825397",NA,NA,22674,NA,"9500",0.8601,"22000","18400","19500"
"4316",247162,NA,NA,NA,NA,0,0.875,0,0,"PrivacySuppressed",NA,"PrivacySuppressed",NA,NA,NA,NA,"PrivacySuppressed",0,NA,NA,NA
"4317",247409,NA,NA,NA,NA,0.7784,0.1078,0.006,0.0599,"0.4738722644","0.4226415094","0.4701986755",NA,NA,17533,NA,"9500",0.6448,"20200","19300","19500"
"4318",247603,NA,NA,NA,NA,0.8341,0.0219,0.013,0.0986,"0.8076923077","0.6231884058","PrivacySuppressed",NA,NA,NA,11564,"5500",0.3604,"30800","23900","30600"
"4319",247649,0.2198,0.3333,0.2857,0.3333,0.702,0.04,0.024,0.038,"PrivacySuppressed","PrivacySuppressed","0.7777777778",0.8619,0.6905,34921,NA,"8750",0.3279,"22700","20300","23000"
