"","X","index","UNITID","UGDS_BLACK","UGDS_HISP","COMPL_RPY_5YR_RT","NPT4_PUB","ADM_RATE","RET_FT4","DEBT_MDN","PCTPELL","MD_EARN_WNE_P10","grad_total","C150_4_BLACK","C150_4_HISP","resid"
"2836",2836,2836,201371,-0.562258904620405,-0.56294473965251,1.35657048226345,0.785029743258203,-0.627325452350918,-0.0566378081902309,1.62954489329839,-0.560290360875403,0.325992908435228,1.91152177441516,-0.442848843788718,-0.460679107819942,0.597043681407284
"1762",1762,1762,168430,-0.536002218773385,-0.317659990673562,1.22929890933937,0.0898574027064619,-0.375085933979365,0.560807365549584,0.495760384197632,-1.12326881100872,0.820077454688329,1.63221919110134,0.570374389934015,-0.220188298850102,0.594874065708777
"2710",2710,2710,198695,-0.612992162019731,-0.545424400439728,0.533617561664705,2.70576035603054,0.529051542688308,0.331821075950713,1.53585917944111,-1.84602337788585,0.291681481612096,2.01784238636227,1.07978275862348,0.484353575107943,0.592932312184684
"2507",2507,2507,193016,0.346044414257002,0.874621554729604,0.384223793771633,-0.176115924969555,0.131786267074667,-0.22991091572152,0.826470954113817,0.0827974441904062,0.271094625518217,0.683351090763856,-0.776461383283388,-0.72271789327348,0.592196495179559
"3313",3313,3313,214591,-0.677076276629406,-0.606970207417963,1.36238420519368,0.870479364912552,0.840641535970815,0.618565068060014,1.80754774962721,-0.974557522294259,1.01908373026249,2.1881634344721,-0.379722159668769,-0.139768172330587,0.591545025315183
"1198",1198,1198,151306,-0.645924276471925,-0.623592067696756,1.20675889143389,-0.277953145297341,0.105461459654486,0.0875008830304876,0.411630613153798,-0.927642651449816,0.140711203590315,1.16302723083461,-0.84877739483852,-0.703093843261541,0.590141991878164
"1674",1674,1674,165866,-0.493724504273947,-0.303733567196735,1.29355742358727,0.268300143817218,-0.329137179209594,0.193815946058535,0.824597239836671,-1.04670020104562,0.833802025417582,1.60634359258324,0.539210583849483,-0.377950269534317,0.588507205428766
"142",142,142,106467,-0.446106446890369,-0.489718706532421,0.688767500468367,-0.71963794763854,0.81958169003467,-0.169597562657531,-0.244169383847135,-0.386793857375199,0.0652260645794245,1.23171585255073,-0.520358823024606,-0.631523778512117,0.587256213219998
"2605",2605,2605,196112,-0.496839704289695,-0.440751604630031,1.04705281114066,0.0236567064780547,-0.623975022315622,0.214772280597718,0.182100614203471,-0.509834745061568,1.1494671521904,1.28044037332984,0.065760452949862,-0.32561946950248,0.57864335376522
"2822",2822,2822,200800,-0.262309645961232,-0.617751954625829,0.987435914536571,0.297433652569994,1.2718897447996,0.1662149200801,0.692687754725626,-0.6164996872645,0.0995374914025565,1.15089059726783,-1.01538389659813,-0.712328690325983,0.578232083394067
"3298",3298,3298,214069,-0.771422334249205,-0.593942262875125,1.25490552367253,1.18496518707422,0.111205054000707,0.493849321046343,1.99051594879047,-1.08432061634541,1.046532871721,2.56798339105558,1.46413636699938,0.180757977864416,0.575904545922615
"2468",2468,2468,191649,-0.454561989790257,-0.0858524257044461,1.13180452025002,1.94997991244846,-0.360248315251627,0.486182369385667,1.16111632401201,-1.3193375636888,1.38964713995232,1.73244896062535,0.263530760794007,0.167675277856457,0.57481173543
"2211",2211,2211,182980,0.152011956133264,-0.389987544859662,0.85636457952091,1.56760261006827,1.27284701052397,-0.512565866945127,-0.200605526903502,-0.131417626457806,0.0103277816624133,0.8762413809809,0.065760452949862,-0.85508403453048,0.573219531037811
"1200",1200,1200,151333,-0.6525997050771,-0.502297411608265,0.811708930779183,-0.747730973935861,-0.0898207481170394,-0.358204573510173,0.0219917292213865,-0.994031619625915,0.0858129206733037,0.607404821126324,-0.442848843788718,-0.781205258014945,0.568113954643344
"4069",4069,4069,237367,-0.598751247662025,-0.638416970107571,0.753448819962759,-0.908095332383063,-0.125718212780922,-0.365360395060138,0.280095870898182,-0.275260390839353,0.0377769231209189,0.888498045644926,-0.0940539372272255,-0.781205258014945,0.564053434580463
"2431",2431,2431,190600,-0.0469158163009353,1.3171224297191,0.718529729280575,-1.31804541983285,-1.52332617036144,0.416668674328866,-0.659759210518012,0.0925344928562344,0.655382605937295,1.05213466110725,-0.133607998796054,-0.346013090103122,0.563452291676218
"1348",1348,1348,155025,-0.596526104793634,-0.438056167828064,1.33820874551512,-0.229960892039419,0.351957383679817,0.0967012250232995,0.271102042367884,-0.593927438084627,0.195609486507326,0.839439058734039,-0.796438182055524,-0.918573608098518,0.562940822869842
"1991",1991,1991,176035,0.90900555996005,-0.701310495486789,0.446850306117443,-0.771011768876695,1.17137684374073,-0.0648158899616188,0.242434213927557,-0.266851121537047,0.0515014938501717,1.20487466248987,-0.310602435917179,-0.781205258014945,0.560685537853763
"1917",1917,1917,174020,-0.0206591304539158,-0.50993448254717,0.988324307076153,-0.190942799959807,1.47722324267701,-0.0203475703296954,0.411630613153798,-0.454510604914819,0.820077454688329,1.11095822984836,0.283507559566143,-0.781205258014945,0.557198428473631
"3062",3062,3062,207351,-0.316603131949984,-0.00454008217845771,0.89260686114035,-0.618451028845415,-0.461239849172685,-0.206398930628779,-0.43763038296241,-0.549225532846053,0.133848918225689,0.168976998610962,-1.27468274466046,-0.956282566944989,0.556605464148685
"4070",4070,4070,237385,-0.131471245299812,-0.659980464523303,0.375671328215154,-0.139308858107788,-1.08059077284022,-0.284601837567679,0.13057347158197,-0.744851692404958,-0.243576776828764,0.716199404840122,-0.999801993555868,-0.460679107819942,0.556225660628699
"2434",2434,2434,190637,0.39099230019851,1.72458262628303,0.782623207949145,-1.73814021122333,-1.92537777459694,0.610386986288626,-0.76543669574902,-0.00483599380204378,0.518136898644767,1.01457769597174,-0.0221374616475361,-0.420276651913009,0.554881514834399
"3830",3830,3830,229780,-0.132806331020847,0.51567922060107,0.735339980090679,0.0928487897658988,1.36905221582318,-1.30992883965548,0.107152043117651,-0.855057379577281,0.511274613280141,0.55680462768238,-0.333775522492856,-1.0590202405369,0.551204155633342
"426",426,426,119270,-0.552913304573161,-0.108314399054167,0.0432310301492575,2.69210402380267,1.2139751684752,-0.280512796681985,-0.931073037848684,-1.05997799468084,-0.490619049955314,0.513121503542917,-0.480804761455777,-0.042032707565244,0.550946031216284
"3953",3953,3953,233541,-0.204455931383053,-0.476690761989584,1.09359816617177,1.51154661778057,0.643923429612734,0.25004025823683,1.41425512285437,-1.37112095886616,0.449514044998503,1.54616137686549,-0.0341235409108177,-0.263284251817497,0.543234517515418
"675",675,675,130314,-0.146602216804874,-0.0373345632690497,1.21413394569218,1.17755174957909,0.518521619720235,0.427913536764525,2.47271631801387,-0.861253683273717,1.14260486682577,1.41359411591295,-0.248274823748115,-0.377950269534317,0.541392627251334
"1137",1137,1137,148627,-0.201785759940983,0.521519333671998,1.03450850964254,0.0423853906762682,-0.933171851287203,0.208638719269177,1.3953306086552,-0.12079539154963,0.710280888854306,1.63413258006343,-0.0169434939667807,-0.310612843022762,0.533376660735752
